approach_A,approach_B,chi2,p_value,significance,A_only_correct,B_only_correct,n_shared
phenotype_only,cot,2.2273,0.135593,ns,7,15,158
phenotype_only,rag_v2,3.1842,0.074353,ns,25,13,158
phenotype_only,rag_agentic,3.8919,0.04852,*,25,12,158
phenotype_only,exomiser_no_anchor,19.3433,1.1e-05,***,52,15,158
phenotype_only,exomiser_anchored_5g,3.6739,0.05527,ns,30,16,158
phenotype_only,exomiser_anchored_10g,14.5,0.00014,***,44,14,158
phenotype_only,rag_exomiser,3.2,0.073638,ns,29,16,158
cot,rag_v2,8.5952,0.00337,**,31,11,158
cot,rag_agentic,8.8889,0.002869,**,33,12,158
cot,exomiser_no_anchor,28.8955,0.0,***,56,11,158
cot,exomiser_anchored_5g,9.587,0.00196,**,34,12,158
cot,exomiser_anchored_10g,22.8167,2e-06,***,49,11,158
cot,rag_exomiser,8.8889,0.002869,**,33,12,158
rag_v2,rag_agentic,0.0,1.0,ns,6,5,158
rag_v2,exomiser_no_anchor,12.2553,0.000464,***,36,11,158
rag_v2,exomiser_anchored_5g,0.0294,0.863832,ns,18,16,158
rag_v2,exomiser_anchored_10g,6.881,0.008712,**,30,12,158
rag_v2,rag_exomiser,0.0,1.0,ns,24,23,158
rag_agentic,exomiser_no_anchor,10.1731,0.001425,**,38,14,158
rag_agentic,exomiser_anchored_5g,0.0,1.0,ns,19,18,158
rag_agentic,exomiser_anchored_10g,5.4468,0.019604,*,32,15,158
rag_agentic,rag_exomiser,0.0208,0.885234,ns,24,24,158
exomiser_no_anchor,exomiser_anchored_5g,17.9259,2.3e-05,***,2,25,158
exomiser_no_anchor,exomiser_anchored_10g,3.2727,0.07044,ns,2,9,158
exomiser_no_anchor,rag_exomiser,13.9211,0.000191,***,7,31,158
exomiser_anchored_5g,exomiser_anchored_10g,10.2273,0.001384,**,19,3,158
exomiser_anchored_5g,rag_exomiser,0.0,1.0,ns,22,23,158
exomiser_anchored_10g,rag_exomiser,7.7576,0.005349,**,8,25,158
