approach_A,approach_B,chi2,p_value,significance,A_only_correct,B_only_correct,both_correct,neither_correct,n_shared
cot,rag_v2,41.0233,0.0,***,0,43,10,91,144
cot,rag_agentic,40.0238,0.0,***,0,42,10,87,139
cot,exomiser_no_anchor,42.0227,0.0,***,0,44,10,89,143
cot,exomiser_anchored_5g,47.1698,0.0,***,1,52,9,82,144
cot,exomiser_anchored_10g,47.0204,0.0,***,0,49,10,83,142
cot,rag_exomiser,67.0145,0.0,***,0,69,10,65,144
cot,phenotype_only,3.2727,0.07044,ns,2,9,8,125,144
rag_v2,rag_agentic,0.0,1.0,ns,4,3,54,92,153
rag_v2,exomiser_no_anchor,0.225,0.635256,ns,18,22,40,77,157
rag_v2,exomiser_anchored_5g,2.6304,0.104833,ns,17,29,42,70,158
rag_v2,exomiser_anchored_10g,1.4884,0.222469,ns,17,26,41,72,156
rag_v2,rag_exomiser,19.22,1.2e-05,***,9,41,50,58,158
rag_v2,phenotype_only,33.0652,0.0,***,43,3,16,96,158
rag_agentic,exomiser_no_anchor,0.4103,0.521839,ns,17,22,40,73,152
rag_agentic,exomiser_anchored_5g,3.6739,0.05527,ns,16,30,41,66,153
rag_agentic,exomiser_anchored_10g,1.9286,0.164915,ns,16,26,41,68,151
rag_agentic,rag_exomiser,23.6739,1e-06,***,6,40,51,56,153
rag_agentic,phenotype_only,31.1136,0.0,***,41,3,16,93,153
exomiser_no_anchor,exomiser_anchored_5g,3.5,0.061369,ns,3,11,59,84,157
exomiser_no_anchor,exomiser_anchored_10g,1.4545,0.2278,ns,3,8,59,86,156
exomiser_no_anchor,rag_exomiser,23.7576,1e-06,***,2,31,60,64,157
exomiser_no_anchor,phenotype_only,41.0233,0.0,***,43,0,19,95,157
exomiser_anchored_5g,exomiser_anchored_10g,0.125,0.723674,ns,5,3,64,84,156
exomiser_anchored_5g,rag_exomiser,12.8929,0.00033,***,4,24,67,63,158
exomiser_anchored_5g,phenotype_only,48.1667,0.0,***,53,1,18,86,158
exomiser_anchored_10g,rag_exomiser,17.9259,2.3e-05,***,2,25,65,64,156
exomiser_anchored_10g,phenotype_only,46.0208,0.0,***,48,0,19,89,156
rag_exomiser,phenotype_only,70.0139,0.0,***,72,0,19,67,158
